# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 66.1767 h/Mpc,
# number of wavenumbers equal to 130
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691046e-05       7.261927690702e-03 
       1.319039970183e-05       9.069258214196e-03 
       1.660572937635e-05       1.132639108258e-02 
       2.090537469327e-05       1.414527125310e-02 
       2.631830744443e-05       1.766569586452e-02 
       3.313278603720e-05       2.206225518922e-02 
       4.171170630578e-05       2.755297769981e-02 
       5.251192703764e-05       3.441013527643e-02 
       6.610859936996e-05       4.297372178588e-02 
       8.322579568497e-05       5.366826860167e-02 
       1.047750691046e-04       6.702379881821e-02 
       1.319039970183e-04       8.370193452574e-02 
       1.660572937635e-04       1.045283356790e-01 
       2.090537469327e-04       1.305329135851e-01 
       2.631830744443e-04       1.629994508759e-01 
       3.313278603720e-04       2.035264007282e-01 
       4.171170630578e-04       2.541004747535e-01 
       5.251192703764e-04       3.171839532564e-01 
       6.610859936996e-04       3.958147261279e-01 
       8.322579568497e-04       4.937136011995e-01 
       1.047750691046e-03       6.153841642015e-01 
       1.319039970183e-03       7.661720598422e-01 
       1.660572937635e-03       9.522588019690e-01 
       2.090537469327e-03       1.180312991133e+00 
       2.631830744443e-03       1.456802681683e+00 
       3.313278603720e-03       1.786503844930e+00 
       4.171170630578e-03       2.169896136593e+00 
       5.251192703764e-03       2.599430569621e+00 
       6.610859936996e-03       3.055668561491e+00 
       8.322579568497e-03       3.505725228734e+00 
       1.047750691046e-02       3.905490443722e+00 
       1.319039970183e-02       4.200913321223e+00 
       1.660572937633e-02       4.325057005651e+00 
       2.090537453514e-02       4.210192427609e+00 
       2.631818545635e-02       3.825137676441e+00 
       3.311571692125e-02       3.229028591035e+00 
       4.113809243311e-02       2.627684605734e+00 
       4.792590854610e-02       2.280713956539e+00 
       5.284436902701e-02       2.110001883514e+00 
       5.689644391095e-02       2.003441604552e+00 
       6.051252627066e-02       1.922952076992e+00 
       6.388413457411e-02       1.852618818976e+00 
       6.711249296401e-02       1.784443257381e+00 
       7.025823437965e-02       1.714149668249e+00 
       7.336115587705e-02       1.639682745029e+00 
       7.644928796912e-02       1.560527742366e+00 
       7.954353299775e-02       1.477323634993e+00 
       8.266024078725e-02       1.391554021074e+00 
       8.581273398637e-02       1.305315787996e+00 
       8.901225918437e-02       1.220979495020e+00 
       9.226860540985e-02       1.140929410752e+00 
       9.559052048996e-02       1.067298199611e+00 
       9.898599946599e-02       1.001733996664e+00 
       1.024624891378e-01       9.452204963449e-01 
       1.060270359164e-01       8.979858513340e-01 
       1.096863943056e-01       8.594454207526e-01 
       1.134471073830e-01       8.282303242868e-01 
       1.173155669539e-01       8.022857705486e-01 
       1.212980586983e-01       7.790455911380e-01 
       1.254007961065e-01       7.557263602695e-01 
       1.296299459934e-01       7.297888019972e-01 
       1.339916477160e-01       6.993956099226e-01 
       1.384920277736e-01       6.638785678255e-01 
       1.431372111762e-01       6.239457648511e-01 
       1.479333307714e-01       5.815639733399e-01 
       1.528865355934e-01       5.394897669234e-01 
       1.580029992204e-01       5.006132478763e-01 
       1.632889290723e-01       4.671971185938e-01 
       1.687505775527e-01       4.403311961666e-01 
       1.743942559171e-01       4.196600122497e-01 
       1.802263517371e-01       4.034487372447e-01 
       1.862533508214e-01       3.891462781124e-01 
       1.924818644494e-01       3.739166626801e-01 
       1.989186627765e-01       3.555834456221e-01 
       2.055707152847e-01       3.337808708752e-01 
       2.124452391818e-01       3.100478047315e-01 
       2.195497567139e-01       2.869061837173e-01 
       2.268921624510e-01       2.665929746528e-01 
       2.344808017550e-01       2.502671255532e-01 
       2.423245618548e-01       2.376154055237e-01 
       2.504329772620e-01       2.268916593310e-01 
       2.588163516754e-01       2.158959980794e-01 
       2.674858990930e-01       2.033238388817e-01 
       2.764539076010e-01       1.893770394200e-01 
       2.857339303080e-01       1.755382136764e-01 
       2.953410092148e-01       1.634823075819e-01 
       3.052919395542e-01       1.536890591018e-01 
       3.156055844677e-01       1.453129229315e-01 
       3.263032530092e-01       1.370320254750e-01 
       3.374091587054e-01       1.280845887620e-01 
       3.489509817175e-01       1.189559055766e-01 
       3.609605657343e-01       1.105935465348e-01 
       3.734747921333e-01       1.034320534239e-01 
       3.865366902904e-01       9.692926919054e-02 
       4.001968667448e-01       9.040447205598e-02 
       4.145153713076e-01       8.382796773772e-02 
       4.295641718077e-01       7.768358266850e-02 
       4.454304922144e-01       7.213558243038e-02 
       4.622214006969e-01       6.688906601682e-02 
       4.800702491654e-01       6.168924538153e-02 
       4.991459272112e-01       5.672592739912e-02 
       5.196665217302e-01       5.211768795031e-02 
       5.419201087032e-01       4.763663853601e-02 
       5.662975451962e-01       4.329342764781e-02 
       5.933463737275e-01       3.914030012565e-02 
       6.238638458458e-01       3.506566111067e-02 
       6.590669257916e-01       3.107865391436e-02 
       7.009246080454e-01       2.710712856348e-02 
       7.528593308799e-01       2.310280178928e-02 
       8.213469537518e-01       1.897849567299e-02 
       9.196980813302e-01       1.465505900717e-02 
       1.075112183810e+00       1.019977270207e-02 
       1.322697471132e+00       6.242657660022e-03 
       1.662328205042e+00       3.584366359845e-03 
       2.092692408506e+00       2.018240376151e-03 
       2.634543445090e+00       1.115940756443e-03 
       3.316693691389e+00       6.031901206311e-04 
       4.175469971226e+00       3.163092565620e-04 
       5.256605252960e+00       1.589708620140e-04 
       6.617673932723e+00       7.508652929737e-05 
       8.331157880872e+00       3.227746657547e-05 
       1.048830636590e+01       1.193901754702e-05 
       1.320399541071e+01       3.398400829882e-06 
       1.662284535976e+01       5.523885361487e-07 
       2.092692243973e+01       5.512276188264e-09 
       2.634543445002e+01       5.818006140027e-08 
       3.316693691389e+01       8.733762642323e-08 
       4.175469971226e+01       4.028489799153e-08 
       5.256605252960e+01       5.159657975339e-09 
       6.617673932723e+01       8.182020641188e-11 
