# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 157.312 h/Mpc,
# number of wavenumbers equal to 257
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261927097283e-03 
       1.131335172818e-05       7.820332152907e-03 
       1.221587619877e-05       8.421675384645e-03 
       1.319039970550e-05       9.069257740496e-03 
       1.424266598317e-05       9.766636453810e-03 
       1.537887697396e-05       1.051763973930e-02 
       1.660572938097e-05       1.132639251063e-02 
       1.793045413791e-05       1.219733201842e-02 
       1.936085902737e-05       1.313524187564e-02 
       2.090537469909e-05       1.414527085366e-02 
       2.257310435923e-05       1.523296544912e-02 
       2.437387742372e-05       1.640429655092e-02 
       2.631830745176e-05       1.766569603772e-02 
       2.841785470091e-05       1.902408711686e-02 
       3.068489367268e-05       2.048692968007e-02 
       3.313278604643e-05       2.206225468154e-02 
       3.577595943165e-05       2.375870884497e-02 
       3.862999240274e-05       2.558560670528e-02 
       4.171170631739e-05       2.755297673279e-02 
       4.503926445983e-05       2.967161934238e-02 
       4.863227909323e-05       3.195316456543e-02 
       5.251192705226e-05       3.441013467079e-02 
       5.670107455699e-05       3.705601742737e-02 
       6.122441198393e-05       3.990533413965e-02 
       6.610859938837e-05       4.297372243734e-02 
       7.138242363583e-05       4.627802056225e-02 
       7.707696806873e-05       4.983636161288e-02 
       8.322579570814e-05       5.366826788415e-02 
       8.986514707061e-05       5.779476321335e-02 
       9.703415376577e-05       6.223848223554e-02 
       1.047750691338e-04       6.702379826872e-02 
       1.131335172818e-04       7.217695033021e-02 
       1.221587619877e-04       7.772619032495e-02 
       1.319039970550e-04       8.370193382426e-02 
       1.424266598317e-04       9.013692509133e-02 
       1.537887697396e-04       9.706641133065e-02 
       1.660572938097e-04       1.045283343399e-01 
       1.793045413791e-04       1.125635329495e-01 
       1.936085902737e-04       1.212159591863e-01 
       2.090537469909e-04       1.305329107793e-01 
       2.257310435923e-04       1.405652819747e-01 
       2.437387742372e-04       1.513678275487e-01 
       2.631830745176e-04       1.629994475579e-01 
       2.841785470091e-04       1.755234890957e-01 
       3.068489367268e-04       1.890080645813e-01 
       3.313278604643e-04       2.035263977983e-01 
       3.577595943165e-04       2.191571778636e-01 
       3.862999240274e-04       2.359849423894e-01 
       4.171170631739e-04       2.541004713680e-01 
       4.503926445983e-04       2.736012061884e-01 
       4.863227909323e-04       2.945916775417e-01 
       5.251192705226e-04       3.171839508688e-01 
       5.670107455699e-04       3.414980769985e-01 
       6.122441198393e-04       3.676625417231e-01 
       6.610859938837e-04       3.958147273848e-01 
       7.138242363583e-04       4.261013333100e-01 
       7.707696806873e-04       4.586787881936e-01 
       8.322579570814e-04       4.937136113955e-01 
       8.986514707061e-04       5.313826963252e-01 
       9.703415376577e-04       5.718735178011e-01 
       1.047750691338e-03       6.153841927476e-01 
       1.131335172818e-03       6.621233624348e-01 
       1.221587619877e-03       7.123098744853e-01 
       1.319039970550e-03       7.661721264926e-01 
       1.424266598317e-03       8.239547182355e-01 
       1.537887697396e-03       8.859012283707e-01 
       1.660572938097e-03       9.522589496361e-01 
       1.793045413791e-03       1.023280284754e+00 
       1.936085902737e-03       1.099216542080e+00 
       2.090537469909e-03       1.180313284920e+00 
       2.257310435923e-03       1.266804486565e+00 
       2.437387742372e-03       1.358905328043e+00 
