# Matter power spectrum P(k) at redshift z=99
# for k=1.04775e-05 to 157.312 h/Mpc,
# number of wavenumbers equal to 257
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.047750691338e-05       7.261927538146e-03 
       1.131335172818e-05       7.820332627709e-03 
       1.221587619877e-05       8.421675895526e-03 
       1.319039970550e-05       9.069258290595e-03 
       1.424266598317e-05       9.766637046126e-03 
       1.537887697396e-05       1.051764041480e-02 
       1.660572938097e-05       1.132639319808e-02 
       1.793045413791e-05       1.219733275334e-02 
       1.936085902737e-05       1.313524267370e-02 
       2.090537469909e-05       1.414527171023e-02 
       2.257310435923e-05       1.523296637419e-02 
       2.437387742372e-05       1.640429754423e-02 
       2.631830745176e-05       1.766569710619e-02 
       2.841785470091e-05       1.902408826894e-02 
       3.068489367268e-05       2.048693091623e-02 
       3.313278604643e-05       2.206225601298e-02 
       3.577595943165e-05       2.375871026240e-02 
       3.862999240274e-05       2.558560824833e-02 
       4.171170631739e-05       2.755297840828e-02 
       4.503926445983e-05       2.967162114438e-02 
       4.863227909323e-05       3.195316649921e-02 
       5.251192705226e-05       3.441013674398e-02 
       5.670107455699e-05       3.705601964841e-02 
       6.122441198393e-05       3.990533652981e-02 
       6.610859938837e-05       4.297372512139e-02 
       7.138242363583e-05       4.627802300397e-02 
       7.707696806873e-05       4.983636466830e-02 
       8.322579570814e-05       5.366827115977e-02 
       8.986514707061e-05       5.779476672018e-02 
       9.703415376577e-05       6.223848600045e-02 
       1.047750691338e-04       6.702380233669e-02 
       1.131335172818e-04       7.217695328457e-02 
       1.221587619877e-04       7.772619500440e-02 
       1.319039970550e-04       8.370193886415e-02 
       1.424266598317e-04       9.013693053932e-02 
       1.537887697396e-04       9.706641703661e-02 
       1.660572938097e-04       1.045283406412e-01 
       1.793045413791e-04       1.125635397373e-01 
       1.936085902737e-04       1.212159666658e-01 
       2.090537469909e-04       1.305329186085e-01 
       2.257310435923e-04       1.405652904003e-01 
       2.437387742372e-04       1.513678366230e-01 
       2.631830745176e-04       1.629994572522e-01 
       2.841785470091e-04       1.755234990616e-01 
       3.068489367268e-04       1.890080757571e-01 
       3.313278604643e-04       2.035264097861e-01 
       3.577595943165e-04       2.191571906677e-01 
       3.862999240274e-04       2.359849561557e-01 
       4.171170631739e-04       2.541004860896e-01 
       4.503926445983e-04       2.736012219203e-01 
       4.863227909323e-04       2.945916943252e-01 
       5.251192705226e-04       3.171839687442e-01 
       5.670107455699e-04       3.414980959974e-01 
       6.122441198393e-04       3.676625618690e-01 
       6.610859938837e-04       3.958147486823e-01 
       7.138242363583e-04       4.261013557413e-01 
       7.707696806873e-04       4.586788117245e-01 
       8.322579570814e-04       4.937136359419e-01 
       8.986514707061e-04       5.313827217568e-01 
       9.703415376577e-04       5.718735439074e-01 
       1.047750691338e-03       6.153842192457e-01 
       1.131335172818e-03       6.621233889270e-01 
       1.221587619877e-03       7.123099004169e-01 
       1.319039970550e-03       7.661721511162e-01 
       1.424266598317e-03       8.239547411020e-01 
       1.537887697396e-03       8.859012478071e-01 
       1.660572938097e-03       9.522589629482e-01 
       1.793045413791e-03       1.023280288346e+00 
       1.936085902737e-03       1.099216531132e+00 
       2.090537469909e-03       1.180313255772e+00 
       2.257310435923e-03       1.266804424914e+00 
       2.437387742372e-03       1.358905221920e+00 
       2.631830745176e-03       1.456803131209e+00 
       2.841785470091e-03       1.560647417293e+00 
       3.068489367268e-03       1.670536672379e+00 
       3.313278604643e-03       1.786504531905e+00 
       3.577595943165e-03       1.908503736950e+00 
       3.862999240274e-03       2.036388644271e+00 
       4.171170631739e-03       2.169897149547e+00 
       4.503926445983e-03       2.308632864607e+00 
       4.863227909323e-03       2.452048179685e+00 
       5.251192705226e-03       2.599431404688e+00 
       5.670107455699e-03       2.749896269016e+00 
       6.122441198393e-03       2.902383639462e+00 
       6.610859938837e-03       3.055663202568e+00 
       7.138242363583e-03       3.208347808628e+00 
       7.707696806873e-03       3.358910380724e+00 
       8.322579570814e-03       3.505706215189e+00 
       8.986514707061e-03       3.646983219416e+00 
       9.703415376577e-03       3.780886344516e+00 
       1.047750691338e-02       3.905440562258e+00 
       1.131335172818e-02       4.018518882219e+00 
       1.221587619877e-02       4.117808556173e+00 
       1.319039970550e-02       4.200792855775e+00 
       1.424266598317e-02       4.264779164468e+00 
       1.537887697392e-02       4.307003809821e+00 
       1.660572938023e-02       4.324780585334e+00 
       1.793045412706e-02       4.315694464855e+00 
       1.936085890181e-02       4.277755495194e+00 
       2.090537352463e-02       4.209598209755e+00 
       2.257309535333e-02       4.110646007379e+00 
       2.437382002918e-02       3.981442558008e+00 
       2.631799944462e-02       3.823940704953e+00 
       2.841644545389e-02       3.641751454053e+00 
       3.067933355377e-02       3.440309660591e+00 
       3.311368470740e-02       3.226930710759e+00 
       3.571840443502e-02       3.010740658168e+00 
       3.847720348444e-02       2.801967319046e+00 
       4.135335538431e-02       2.610506551963e+00 
       4.429361667738e-02       2.443607699918e+00 
       4.724366439141e-02       2.304078894524e+00 
       5.016480835311e-02       2.190309094753e+00 
       5.303989620246e-02       2.097926611057e+00 
       5.586870669566e-02       2.021386514058e+00 
       5.866042680613e-02       1.955462154748e+00 
       6.142798932958e-02       1.895487686645e+00 
       6.418496440164e-02       1.837607723147e+00 
       6.694418833788e-02       1.778771979876e+00 
       6.971731106057e-02       1.716760405193e+00 
       7.251476155766e-02       1.650193763043e+00 
       7.534587671527e-02       1.578533449097e+00 
       7.821907666265e-02       1.502049998247e+00 
       8.114203772912e-02       1.421749340447e+00 
       8.412184535029e-02       1.339259128795e+00 
       8.716512279304e-02       1.256637299944e+00 
       9.027813695930e-02       1.176152962219e+00 
       9.346688431697e-02       1.100048002604e+00 
       9.673716028275e-02       1.030287023392e+00 
       1.000946150830e-01       9.683514164632e-01 
       1.035447986537e-01       9.150699546802e-01 
       1.070931966762e-01       8.705435787307e-01 
       1.107452594425e-01       8.340548666673e-01 
       1.145064249153e-01       8.041509248838e-01 
       1.183821370918e-01       7.787177152956e-01 
       1.223778605862e-01       7.551894167913e-01 
       1.264990921987e-01       7.308836320607e-01 
       1.307513701367e-01       7.034457679437e-01 
       1.351402814784e-01       6.713414442017e-01 
       1.396714684203e-01       6.342555804714e-01 
       1.443506338194e-01       5.932297216311e-01 
       1.491835465229e-01       5.504579155056e-01 
       1.541760469708e-01       5.087566942692e-01 
       1.593340535561e-01       4.708683953754e-01 
       1.646635702297e-01       4.387608525241e-01 
       1.701706958456e-01       4.131456933326e-01 
       1.758616357459e-01       3.933025482348e-01 
       1.817427160982e-01       3.772535423696e-01 
       1.878204015065e-01       3.624392797150e-01 
       1.941013164283e-01       3.461075620701e-01 
       2.005922709503e-01       3.265459328207e-01 
       2.073002914972e-01       3.039085677682e-01 
       2.142326570816e-01       2.800450791040e-01 
       2.213969417533e-01       2.574201672177e-01 
       2.288010639706e-01       2.379598276567e-01 
       2.364533437147e-01       2.224310836819e-01 
       2.443625682930e-01       2.101434557345e-01 
       2.525380679504e-01       1.992038750452e-01 
       2.609898026346e-01       1.876457450013e-01 
       2.697284615565e-01       1.745908311558e-01 
       2.787655775689e-01       1.605857296601e-01 
       2.881136588829e-01       1.471884287601e-01 
       2.977863412677e-01       1.357584812449e-01 
       3.077985646929e-01       1.263745158090e-01 
       3.181667794071e-01       1.180736711481e-01 
       3.289091877812e-01       1.096897560247e-01 
       3.400460299658e-01       1.008071616408e-01 
       3.515999236474e-01       9.205106609809e-02 
       3.635962711085e-01       8.420408860788e-02 
       3.760637506334e-01       7.745355300090e-02 
       3.890349143879e-01       7.121636744479e-02 
       4.025469216825e-01       6.501156533474e-02 
       4.166424456376e-01       5.891849141565e-02 
       4.313708035863e-01       5.332945215775e-02 
       4.467893782977e-01       4.830861061453e-02 
       4.629654199663e-01       4.360673472821e-02 
